Region,RegionSampleNum
39131024,49
39131032,77
39131040,125
39131057,102
39131065,100
39131073,142
39131081,240
39131099,195
39131107,150
39131115,397
39131131,108
39131149,167
39131156,302
39131164,121
39131172,230
39131180,103
39131198,347
39131206,433
39131214,442
39131222,307
39131230,347
39132014,355
39132022,72
39132030,108
39132048,142
39132055,97
39132063,146
39132071,51
39132089,132
39132097,218
39132105,55
39132113,119
39132121,151
39132139,145
39132147,62
39132154,30
39132188,32
39132196,60
39132204,86
39132212,36
39132220,89
39132238,38
39132246,78
39132253,38
39132279,30
39132287,63
39132295,118
